,ratio001,ratio002,ratio003,ratio004,ratio005,ratio006,ratio008,ratio011,ratio012,ratio017,ratio018,ratio019,ratio027,ratio029,ratio030,DIO,DPO,DSO,turnover,nace,ratio036,ratio037,ratio039,ratio040,status
9254,-0.317400197,-0.281937493,0.285241878,0.083058312,0.469537767,-0.257011484,0.016261469,0.202201188,0.226077152,0.481334778,0.434913361,-0.361671593,0.093369915,-0.003989447,0.002967191,-0.320362806,-0.290283279,0.417868805,-0.290772561,4120,0,0,1,0,0
9255,-0.157094718,-0.309276057,-0.249034021,-0.218791732,-0.310209936,-0.15502755,-0.209176674,0.148669143,0.264201077,0.744465136,0.782618044,-0.08042883,-0.259818586,-0.129305202,-0.149132965,-0.143876427,-0.732684503,-0.79635848,-0.290772561,4643,0,0,1,0,0
9256,-0.360488085,-0.296849437,1.391068738,0.162959794,0.568379025,-0.268525799,3.449548399,0.844585718,0.302325001,-0.055451152,-0.070838905,-0.40493971,-0.822614995,0.497273573,0.459267661,-0.320362806,-0.096058352,-0.750365022,-0.290772561,4730,0,0,1,0,0
9257,0.005527313,-0.309276057,-0.348434188,-0.902393301,-0.793433865,-0.307016509,-0.234459456,0.041605055,0.254670096,-0.655388368,-0.660883216,0.157545815,-0.225158363,0.371957818,0.345192544,-0.246559411,-0.732684503,-0.79635848,-0.290772561,4941,0,0,1,0,0
9258,-0.339175796,-0.304305409,0.608292421,0.686758399,1.216338384,-0.103377623,0.045949585,-3.467955763,0.369041869,1.007595493,1.035494177,-0.361671593,-0.037120475,0.163098226,0.117042309,-0.320362806,-0.549249849,0.022325068,-0.290885529,5911,0,0,1,0,0
9259,-0.303037567,-0.309276057,0.160991669,0.331640701,0.480520129,-0.135946685,-1.119889311,0.416329364,0.254670096,0.628687778,0.635106966,-0.40493971,0.485746698,0.037782471,0.002967191,-0.236932882,-0.732684503,-0.79635848,-0.290885529,4669,0,0,1,0,0
9260,-0.057019622,-0.147730001,-0.323584146,-0.023476997,0.326767061,-0.253392699,-0.248441601,-0.011926989,0.140298322,0.586586921,0.582424439,0.611861047,-0.238577879,-0.045761366,-0.073082887,-0.317153963,-0.247122184,-0.152450071,-0.290885529,4941,0,0,1,0,0
9261,-0.344735524,-0.257084254,0.744967651,0.748903996,-0.310209936,-0.221152617,-0.211187804,-0.011926989,0.130767341,-0.644863154,-0.544981655,-0.058794771,-0.251503426,-0.045761366,-0.073082887,5.00785725,0.141327671,-0.410013435,-0.290885529,3312,0,0,1,0,0
9262,-0.370217608,-0.309276057,-1.05666038,1.006364328,1.073567678,-0.251747797,3.449548399,0.095137099,0.140298322,-0.539611011,-0.502835633,-0.426573769,3.856037681,0.079554389,0.040992231,-0.150294114,-0.732684503,-0.79635848,-0.290885529,9522,0,0,0,0,0
9263,0.109772205,0.510880843,-0.385709251,-0.112256422,0.194978716,-0.25437964,-0.253996152,-0.011926989,0.111705379,-0.423833653,-0.429080094,1.022908162,-0.222523856,0.580817409,0.535317739,-0.301109747,-0.301073553,1.39293011,-0.290998496,6202,0,0,1,0,0
9264,0.027766223,0.277260393,-0.360859209,-0.858003589,-0.760486779,-0.296489135,-0.24288705,0.095137099,0.302325001,-0.792216154,-0.797857788,0.373886402,-0.292091288,0.079554389,0.07901727,-0.240141725,-0.139219447,-0.547993808,-0.290998496,3011,0,0,1,0,0
9265,-0.328982962,-0.296849437,0.421917108,0.065302427,0.447573043,-0.270499681,-0.027504559,1.75463047,0.473882661,0.723414707,0.519205405,-0.340037534,-0.092856749,0.371957818,0.383217583,-0.320362806,-0.657152587,-0.391616051,-0.290998496,7910,0,0,1,0,0
9266,-0.347978698,-0.309276057,0.831942798,-0.10337848,0.238908164,-0.266222936,-0.394009136,-0.440183343,-0.012197375,-0.929043941,-0.892686338,-0.599646238,-0.410479415,2.54409757,-0.757533591,-0.320362806,0.853485738,2.027639827,-0.290998496,6399,1,1,1,1,0
9267,0.144057191,3.977708912,-0.385709251,-0.165524077,0.16203163,-0.27740827,-0.256486123,0.041605055,0.111705379,-0.834317012,-0.797857788,1.304150925,-0.291597318,0.330185899,0.269142465,-0.320362806,0.853485738,0.160305442,-0.291111464,3511,0,0,1,1,0
9268,-0.316010265,-0.309276057,0.272816857,1.601186472,-1.133887087,-0.104364564,-0.215305833,0.041605055,0.140298322,1.260200637,1.309443322,-0.058794771,-0.240553759,-0.171077121,-0.187158004,-0.307527433,-0.732684503,-0.79635848,-0.291111464,4334,0,0,1,0,0
9269,0.140350706,0.043639943,-0.385709251,0.198471564,0.425608319,-0.515998038,-0.243557427,-0.011926989,0.159360285,0.21820442,0.255792767,0.417154519,-0.293326213,-0.171077121,-0.187158004,-0.240141725,-0.128429173,0.997386373,-0.291111464,1010,0,0,1,0,0
9270,-0.07740529,0.058551886,-0.311159125,-0.218791732,-0.409051194,4.06447545,-0.324098412,-0.493715387,0.921838772,1.123372851,0.751008528,-0.794352766,-0.365939793,-0.379936712,-0.3772832,-0.127832211,0.011844386,-0.134052688,-0.291111464,4120,1,1,1,1,0
9271,-0.307670673,-0.309276057,0.185841711,0.100814197,0.21694344,-0.515998038,-1.119889311,-3.467955763,0.235608133,2.323247283,2.289338338,-0.40493971,-0.822614995,-0.003989447,-0.035057848,-0.269021314,-0.592410944,-0.20764222,-0.291111464,1623,0,0,1,0,0
9272,0.661111855,0.195244703,-0.447834355,-0.334204983,-0.376104108,-0.265235994,-0.234459456,0.148669143,0.311855982,0.112952277,-0.123521433,0.179179874,-0.274720012,-0.003989447,0.002967191,-0.111787994,0.044215207,0.27068974,-0.291111464,3312,0,0,1,0,0
9273,-0.092694541,0.011330731,-0.298734104,-0.307571156,-0.650663159,-0.271815603,-0.252655398,0.041605055,0.130767341,-0.750115297,-0.724102249,0.89310381,-0.300571105,0.079554389,0.040992231,0.494683382,-0.160799994,0.528253104,-0.291111464,2830,0,0,1,0,0
9274,-1.368040446,-1.040259533,-0.472684397,0.58022309,0.392661233,-0.106667427,-0.251889253,0.041605055,0.426227755,4.328932123,4.38273126,0.828201634,-0.298101256,-0.212849039,-0.225183043,-0.236932882,-0.538459576,-0.547993808,-0.291224432,4321,0,0,1,0,0
9275,-0.018101529,0.063522534,-0.348434188,-0.209913789,-0.354139384,-0.266551916,-0.244898181,-0.065459033,0.130767341,-0.813266583,-0.818930799,0.460422637,-0.174032475,0.580817409,0.535317739,0.244393607,1.878561744,1.264148428,-0.291224432,2512,0,0,1,0,0
9276,-0.10705717,0.056066562,-0.298734104,-0.547275603,-0.431015918,-0.289909527,-0.217412732,0.416329364,0.311855982,1.449654495,1.488563916,-0.015526654,-0.271920849,-0.087533284,-0.111107926,-0.28506553,-0.182380542,-0.419212126,-0.291337399,5610,0,0,1,0,0
9277,0.788522278,-0.309276057,-0.447834355,0.313884816,0.645255559,-0.257340464,-0.247100847,0.148669143,0.340448925,0.123477491,0.045062656,0.546958871,-0.292091288,-0.045761366,-0.073082887,-0.29469206,-0.732684503,-0.143251379,-0.291337399,7490,0,0,1,0,0
9278,-0.382263685,-0.271996198,4.616107164,4.73829622,0.238908164,-0.142855274,-0.238098644,-0.065459033,0.111705379,-0.950094369,-0.913759349,0.24408205,-0.292420602,-0.171077121,-0.187158004,-0.320362806,-0.689523408,-0.79635848,-0.291337399,6810,0,0,1,0,0
9279,-0.196939433,-0.309276057,-0.199333937,0.100814197,0.480520129,0.084799184,0.14631457,0.523393453,0.521537566,-1.297426442,-1.272000538,-0.383305651,0.051794113,-0.171077121,-0.187158004,-0.320362806,-0.732684503,-0.768762405,-0.291337399,8551,0,0,1,0,0
9280,-0.235857526,-0.26702555,-0.124783812,-0.076744652,0.118102182,-0.243523286,-0.170869428,0.041605055,0.149829303,-0.023875509,0.002916634,-0.210233182,-0.085776513,-0.003989447,0.002967191,-0.246559411,0.821114917,0.583445253,-0.291337399,4321,0,0,1,0,0
9281,-0.316936886,-0.180039212,0.272816857,1.112899637,0.722132093,4.06447545,-0.240780152,0.041605055,0.149829303,-0.455409296,-0.471226116,0.308984226,-0.289292125,-0.087533284,-0.073082887,0.151337153,-0.279493006,1.650493474,-0.291337399,3030,0,0,1,0,0
9282,0.393781621,3.977708912,-0.422984314,-0.431862351,-0.409051194,-0.283658899,-0.258880325,-0.011926989,-0.040790319,-0.339631939,-0.302642027,1.758466157,-0.301559045,-0.045761366,-0.073082887,-0.134249897,-0.290283279,0.749021701,-0.291337399,2562,0,1,1,1,0
9283,-0.170530727,0.110743689,-0.236609,-0.289815271,-0.145474506,-0.273131525,-0.253804615,0.36279732,0.159360285,0.302406134,0.329548306,1.001274104,-0.301641374,0.121326308,0.07901727,-0.259394784,-0.365815196,-0.226039603,-0.291337399,8121,0,0,1,0,0
9284,-0.146901885,-0.284422817,-0.261459042,-0.369716753,-0.27726285,-0.276421329,3.449548399,0.202201188,0.235608133,1.460179709,1.583392466,-0.40493971,3.856037681,-0.087533284,-0.111107926,-0.259394784,-0.150009721,-0.410013435,-0.291450367,2893,0,0,1,0,0
9285,4.180308207,-0.10299417,-0.472684397,0.00315683,0.359714147,-0.24648411,-0.237715572,0.095137099,0.302325001,0.039275776,0.055599161,0.24408205,-0.279824368,-0.045761366,-0.073082887,-0.31394512,-0.624781766,0.647836094,-0.291450367,8220,0,0,1,0,0
9286,-0.171457348,-0.130332733,-0.236609,-0.174402019,0.063190372,-0.515998038,-0.111780501,0.523393453,0.55013051,1.186524137,1.204078266,-0.296769417,-0.177490264,-0.045761366,-0.073082887,-0.288274374,0.346342872,-0.161648763,-0.291450367,4339,0,0,1,0,0
9287,-0.384580238,-0.309276057,-1.05666038,0.260617161,0.689185007,-0.276750309,-1.119889311,0.095137099,0.140298322,-1.055346512,-1.050733921,-0.40493971,-0.822614995,0.873220837,0.877543091,-0.320362806,-0.732684503,-0.79635848,-0.291450367,6820,0,0,0,0,0
