Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
RIO,Rio Tinto Plc Common Stock,$76.55,-1.01,-1.302%,123926175481.00,Australia,2002,2762788,Basic Industries,Precious Metals
ROG,Rogers Corporation Common Stock,$198.16,0.23,0.116%,3705552566.00,United States,,219643,Basic Industries,Major Chemicals
RPM,RPM International Inc. Common Stock,$87.95,-1.01,-1.135%,11442539941.00,United States,,1201645,Basic Industries,Paints/Coatings
RS,Reliance Steel & Aluminum Co. Common Stock (DE),$148.78,-0.57,-0.382%,9462690980.00,United States,1994,1279568,Basic Industries,Metal Fabrications
SCCO,Southern Copper Corporation Common Stock,$72.14,-0.80,-1.097%,55769505626.00,United States,,1509191,Basic Industries,Precious Metals
SCL,Stepan Company Common Stock,$129.51,-0.93,-0.713%,2910964152.00,United States,,324171,Basic Industries,Package Goods/Cosmetics
SEE,Sealed Air Corporation Common Stock,$44.97,-0.93,-2.026%,6966717863.00,United States,,1920130,Basic Industries,Major Chemicals
SHI,SINOPEC Shangai Petrochemical Company Ltd. Common Stock,$24.28,-0.13,-0.533%,2628022039.00,China,,15216,Basic Industries,Major Chemicals
SKY,Skyline Champion Corporation Common Stock,$45.42,2.14,4.945%,2572535931.00,United States,,795637,Basic Industries,Homebuilding
SMG,Scotts Miracle-Gro Company (The) Common Stock,$234.89,6.07,2.653%,13084099750.00,United States,1992,649264,Basic Industries,Agricultural Chemicals
SQM,Sociedad Quimica y Minera S.A. Common Stock,$54.54,0.75,1.394%,14354738419.00,Chile,1993,1019924,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
SUM,Summit Materials Inc. Class A Common Stock,$27.98,0.46,1.672%,3211996529.00,United States,2015,2019342,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
SUZ,Suzano S.A. American Depositary Shares (each representing One Ordinary Share),$13.46,-0.03,-0.222%,18160522467.00,,2018,520101,Basic Industries,Paper
SXT,Sensient Technologies Corporation Common Stock,$78.00,-1.71,-2.145%,3303485796.00,United States,,843133,Basic Industries,Major Chemicals
TECK,Teck Resources Ltd Ordinary Shares,$20.28,-1.34,-6.198%,10760568000.00,Canada,,6877290,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
TREX,Trex Company Inc. Common Stock,$90.44,-0.28,-0.309%,10472907051.00,United States,,1494252,Basic Industries,Forest Products
TROX,Tronox Holdings plc Ordinary Shares (UK),$18.03,-0.45,-2.435%,2718987357.00,United States,,1638888,Basic Industries,Major Chemicals
