Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
HSBC,HSBC Holdings plc. Common Stock,$29.94,-0.46,-1.513%,121968230419.00,United Kingdom,,3087836,Finance,Savings Institutions
HTH,Hilltop Holdings Inc.,$38.08,0.30,0.794%,3129738575.00,United States,,2495216,Finance,Major Banks
IBN,ICICI Bank Limited Common Stock,$16.17,0.29,1.826%,55907291323.00,India,,8085691,Finance,Commercial Banks
ICE,Intercontinental Exchange Inc. Common Stock,$111.20,-0.44,-0.394%,62461775699.00,United States,2005,3531353,Finance,Investment Bankers/Brokers/Service
IFS,Intercorp Financial Services Inc. Common Shares,$29.44,-0.28,-0.942%,3398053120.00,,2019,50451,Finance,Commercial Banks
IIPR,Innovative Industrial Properties Inc. Common Stock,$178.24,-0.51,-0.285%,4264626742.00,United States,2016,1192503,Finance,Real Estate
ING,ING Group N.V. Common Stock,$12.30,-0.08,-0.646%,47978224211.00,Netherlands,1997,8862928,Finance,Commercial Banks
INVH,Invitation Homes Inc. Common Stock,$30.61,-0.48,-1.544%,17362617424.00,United States,2017,5056848,Finance,Real Estate
ITCB,Itau CorpBanca American Depositary Shares (each representing 1500 shares of Common Stock no par value),$5.86,-0.10,-1.678%,2001802405.00,Chile,,74163,Finance,Commercial Banks
ITUB,Itau Unibanco Banco Holding SA American Depositary Shares (Each repstg 500 Preferred shares),$5.07,0.06,1.198%,49495656463.00,Brazil,,45078173,Finance,Major Banks
IVZ,Invesco Ltd Common Stock,$25.45,0.32,1.273%,11683389068.00,United States,,7037801,Finance,Investment Managers
IX,Orix Corp Ads Common Stock,$90.46,0.39,0.433%,22063060481.00,Japan,,33525,Finance,Diversified Financial Services
JEF,Jefferies Financial Group Inc. Common Stock,$33.74,0.06,0.178%,8434592353.00,United States,,3633221,Finance,Investment Bankers/Brokers/Service
JHG,Janus Henderson Group plc Ordinary Shares,$32.13,0.05,0.156%,5537605147.00,,2017,3411801,Finance,Investment Managers
JLL,Jones Lang LaSalle Incorporated Common Stock,$175.02,-2.75,-1.547%,8945406965.00,United States,,509354,Finance,Real Estate
